Zustand Uhrzeit: 10:00:00: STR 30 | EIN 0 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:34:07: STR 14 | EIN 3 | BAU 4 | PAR 1 [STA 22] | AUS 5 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:34:08: STR 14 | EIN 3 | BAU 3 | PAR 2 [STA 21] | AUS 5 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:34:09: STR 14 | EIN 3 | BAU 2 | PAR 3 [STA 20] | AUS 5 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:34:10: STR 14 | EIN 3 | BAU 1 | PAR 4 [STA 19] | AUS 5 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:34:11: STR 14 | EIN 3 | BAU 0 | PAR 5 [STA 18] | AUS 5 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:31:02: STR 14 | EIN 3 | BAU 0 | PAR 5 [STA 18] | AUS 5 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:31:03: STR 14 | EIN 3 | BAU 1 | PAR 5 [STA 18] | AUS 4 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:31:04: STR 14 | EIN 3 | BAU 2 | PAR 5 [STA 18] | AUS 3 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:31:05: STR 14 | EIN 3 | BAU 3 | PAR 5 [STA 18] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:31:06: STR 14 | EIN 3 | BAU 4 | PAR 5 [STA 18] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:31:07: STR 14 | EIN 3 | BAU 5 | PAR 5 [STA 18] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:34:23: STR 14 | EIN 3 | BAU 4 | PAR 5 [STA 18] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:34:24: STR 14 | EIN 3 | BAU 3 | PAR 5 [STA 18] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:34:25: STR 14 | EIN 3 | BAU 2 | PAR 5 [STA 18] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:34:26: STR 14 | EIN 3 | BAU 1 | PAR 5 [STA 18] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:34:27: STR 14 | EIN 3 | BAU 0 | PAR 5 [STA 18] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:38:08: STR 13 | EIN 4 | BAU 0 | PAR 5 [STA 18] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:40:10: STR 12 | EIN 5 | BAU 0 | PAR 5 [STA 18] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:41:00: STR 11 | EIN 6 | BAU 0 | PAR 4 [STA 18] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:41:01: STR 11 | EIN 6 | BAU 1 | PAR 4 [STA 18] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:43:17: STR 11 | EIN 6 | BAU 1 | PAR 3 [STA 18] | AUS 1 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:44:21: STR 11 | EIN 6 | BAU 0 | PAR 3 [STA 18] | AUS 1 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:41:11: STR 11 | EIN 6 | BAU 0 | PAR 3 [STA 18] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:41:12: STR 11 | EIN 5 | BAU 1 | PAR 3 [STA 18] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:41:13: STR 11 | EIN 4 | BAU 2 | PAR 3 [STA 18] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:41:14: STR 11 | EIN 3 | BAU 3 | PAR 3 [STA 18] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:44:32: STR 11 | EIN 3 | BAU 2 | PAR 4 [STA 17] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:44:33: STR 11 | EIN 3 | BAU 1 | PAR 5 [STA 16] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:44:34: STR 11 | EIN 3 | BAU 0 | PAR 5 [STA 15] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:41:24: STR 11 | EIN 3 | BAU 0 | PAR 5 [STA 15] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:41:25: STR 11 | EIN 3 | BAU 1 | PAR 5 [STA 15] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:44:45: STR 11 | EIN 3 | BAU 0 | PAR 5 [STA 15] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:44:56: STR 10 | EIN 4 | BAU 0 | PAR 5 [STA 15] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:45:22: STR 9 | EIN 5 | BAU 0 | PAR 5 [STA 15] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:45:24: STR 8 | EIN 6 | BAU 0 | PAR 5 [STA 15] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:48:48: STR 7 | EIN 7 | BAU 0 | PAR 5 [STA 15] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:49:18: STR 6 | EIN 8 | BAU 0 | PAR 5 [STA 15] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:52:13: STR 5 | EIN 9 | BAU 0 | PAR 5 [STA 15] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:52:17: STR 4 | EIN 10 | BAU 0 | PAR 5 [STA 15] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:53:43: STR 4 | EIN 10 | BAU 0 | PAR 4 [STA 15] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:53:44: STR 4 | EIN 10 | BAU 1 | PAR 4 [STA 15] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:57:04: STR 4 | EIN 10 | BAU 0 | PAR 4 [STA 15] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:53:54: STR 4 | EIN 10 | BAU 0 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:53:55: STR 4 | EIN 9 | BAU 1 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:28: STR 3 | EIN 10 | BAU 1 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:29: STR 3 | EIN 9 | BAU 2 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:30: STR 3 | EIN 8 | BAU 3 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:31: STR 3 | EIN 7 | BAU 4 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:32: STR 3 | EIN 6 | BAU 5 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:33: STR 3 | EIN 5 | BAU 5 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:34: STR 3 | EIN 4 | BAU 5 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:35: STR 3 | EIN 3 | BAU 5 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:36: STR 3 | EIN 3 | BAU 5 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:57: STR 2 | EIN 4 | BAU 5 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:53:01: STR 1 | EIN 5 | BAU 5 | PAR 4 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:57:15: STR 1 | EIN 5 | BAU 4 | PAR 5 [STA 14] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:55:49: STR 1 | EIN 5 | BAU 3 | PAR 5 [STA 13] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:55:50: STR 1 | EIN 5 | BAU 2 | PAR 5 [STA 12] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:55:51: STR 1 | EIN 5 | BAU 1 | PAR 5 [STA 11] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:55:52: STR 1 | EIN 5 | BAU 0 | PAR 5 [STA 10] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:57:25: STR 1 | EIN 5 | BAU 0 | PAR 5 [STA 10] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:59:39: STR 0 | EIN 6 | BAU 0 | PAR 5 [STA 10] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:03:25: STR 0 | EIN 6 | BAU 0 | PAR 4 [STA 10] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:39:43: STR 0 | EIN 6 | BAU 1 | PAR 3 [STA 10] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:39:44: STR 0 | EIN 6 | BAU 2 | PAR 3 [STA 10] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:39:45: STR 0 | EIN 6 | BAU 3 | PAR 3 [STA 10] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:43:03: STR 0 | EIN 6 | BAU 2 | PAR 3 [STA 10] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:43:04: STR 0 | EIN 6 | BAU 1 | PAR 3 [STA 10] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:43:05: STR 0 | EIN 6 | BAU 0 | PAR 3 [STA 10] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:04:42: STR 0 | EIN 6 | BAU 0 | PAR 2 [STA 10] | AUS 1 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 11:04:52: STR 0 | EIN 6 | BAU 0 | PAR 2 [STA 10] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:04:53: STR 0 | EIN 5 | BAU 1 | PAR 2 [STA 10] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:04:54: STR 0 | EIN 4 | BAU 2 | PAR 2 [STA 10] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:04:55: STR 0 | EIN 3 | BAU 3 | PAR 2 [STA 10] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:04:56: STR 0 | EIN 2 | BAU 4 | PAR 2 [STA 10] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:08:13: STR 0 | EIN 2 | BAU 3 | PAR 3 [STA 9] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:08:14: STR 0 | EIN 2 | BAU 2 | PAR 4 [STA 8] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:08:15: STR 0 | EIN 2 | BAU 1 | PAR 5 [STA 7] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:08:16: STR 0 | EIN 2 | BAU 0 | PAR 5 [STA 6] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:05:06: STR 0 | EIN 2 | BAU 0 | PAR 5 [STA 6] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:05:07: STR 0 | EIN 2 | BAU 1 | PAR 5 [STA 6] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:08:27: STR 0 | EIN 2 | BAU 0 | PAR 5 [STA 6] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:13:03: STR 0 | EIN 2 | BAU 0 | PAR 4 [STA 6] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:13:04: STR 0 | EIN 2 | BAU 1 | PAR 4 [STA 6] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 11:16:24: STR 0 | EIN 2 | BAU 0 | PAR 4 [STA 6] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 11:13:14: STR 0 | EIN 2 | BAU 0 | PAR 4 [STA 6] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:13:15: STR 0 | EIN 1 | BAU 1 | PAR 4 [STA 6] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:13:16: STR 0 | EIN 0 | BAU 2 | PAR 4 [STA 6] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:16:35: STR 0 | EIN 0 | BAU 1 | PAR 5 [STA 5] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:16:36: STR 0 | EIN 0 | BAU 0 | PAR 5 [STA 4] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:26:29: STR 0 | EIN 0 | BAU 0 | PAR 4 [STA 4] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:10:42: STR 0 | EIN 0 | BAU 1 | PAR 3 [STA 4] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:10:43: STR 0 | EIN 0 | BAU 2 | PAR 3 [STA 4] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:10:44: STR 0 | EIN 0 | BAU 3 | PAR 3 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:14:02: STR 0 | EIN 0 | BAU 2 | PAR 3 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:14:03: STR 0 | EIN 0 | BAU 1 | PAR 3 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:14:04: STR 0 | EIN 0 | BAU 0 | PAR 3 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:16:56: STR 0 | EIN 0 | BAU 0 | PAR 2 [STA 4] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:16:57: STR 0 | EIN 0 | BAU 1 | PAR 2 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:20:17: STR 0 | EIN 0 | BAU 0 | PAR 2 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:21:14: STR 0 | EIN 0 | BAU 0 | PAR 1 [STA 4] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:21:15: STR 0 | EIN 0 | BAU 1 | PAR 1 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:24:35: STR 0 | EIN 0 | BAU 0 | PAR 1 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:44:55: STR 0 | EIN 0 | BAU 0 | PAR 0 [STA 4] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:44:56: STR 0 | EIN 0 | BAU 1 | PAR 0 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:48:16: STR 0 | EIN 0 | BAU 0 | PAR 0 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:01:02: STR 30 | EIN 0 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:04:24: STR 29 | EIN 1 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:04:25: STR 29 | EIN 0 | BAU 1 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:04:51: STR 28 | EIN 1 | BAU 1 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:04:53: STR 27 | EIN 2 | BAU 1 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:05:53: STR 26 | EIN 3 | BAU 1 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:07:45: STR 26 | EIN 3 | BAU 0 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:07:46: STR 26 | EIN 2 | BAU 1 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:07:47: STR 26 | EIN 1 | BAU 2 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:07:48: STR 26 | EIN 0 | BAU 3 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:07:57: STR 25 | EIN 1 | BAU 3 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:09:25: STR 24 | EIN 2 | BAU 3 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:09:31: STR 23 | EIN 3 | BAU 3 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:09:47: STR 22 | EIN 4 | BAU 3 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:06: STR 22 | EIN 4 | BAU 2 | PAR 2 [STA 28] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:07: STR 22 | EIN 4 | BAU 1 | PAR 3 [STA 27] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:08: STR 22 | EIN 4 | BAU 0 | PAR 4 [STA 26] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:09: STR 22 | EIN 3 | BAU 1 | PAR 4 [STA 26] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:10: STR 22 | EIN 2 | BAU 2 | PAR 4 [STA 26] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:14:29: STR 22 | EIN 2 | BAU 1 | PAR 5 [STA 25] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:14:30: STR 22 | EIN 2 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:11:20: STR 22 | EIN 2 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:17:50: STR 21 | EIN 3 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:21:01: STR 20 | EIN 4 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:22:07: STR 20 | EIN 4 | BAU 0 | PAR 4 [STA 24] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:22:08: STR 20 | EIN 4 | BAU 1 | PAR 4 [STA 24] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:23:34: STR 19 | EIN 5 | BAU 1 | PAR 4 [STA 24] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:25:28: STR 19 | EIN 5 | BAU 0 | PAR 4 [STA 24] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:22:18: STR 19 | EIN 5 | BAU 0 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:22:19: STR 19 | EIN 4 | BAU 1 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:22:20: STR 19 | EIN 3 | BAU 2 | PAR 4 [STA 24] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:25:39: STR 19 | EIN 3 | BAU 1 | PAR 5 [STA 23] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:25:40: STR 19 | EIN 3 | BAU 0 | PAR 5 [STA 22] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:22:30: STR 19 | EIN 3 | BAU 0 | PAR 5 [STA 22] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:28:21: STR 19 | EIN 3 | BAU 0 | PAR 4 [STA 22] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:26:35: STR 19 | EIN 3 | BAU 1 | PAR 3 [STA 22] | AUS 2 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:29:16: STR 18 | EIN 4 | BAU 1 | PAR 3 [STA 22] | AUS 2 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:29:55: STR 18 | EIN 4 | BAU 0 | PAR 3 [STA 22] | AUS 2 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:26:45: STR 18 | EIN 4 | BAU 0 | PAR 3 [STA 22] | AUS 2 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:26:46: STR 18 | EIN 3 | BAU 1 | PAR 3 [STA 22] | AUS 2 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:26:47: STR 18 | EIN 2 | BAU 2 | PAR 3 [STA 22] | AUS 2 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:26:48: STR 18 | EIN 1 | BAU 3 | PAR 3 [STA 22] | AUS 2 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:30:06: STR 18 | EIN 1 | BAU 2 | PAR 4 [STA 21] | AUS 2 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:30:07: STR 18 | EIN 1 | BAU 1 | PAR 5 [STA 20] | AUS 2 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
